category,product_name,product_slug,city,store,quantity,price
WM,Стиральная машина LG F4 M5VS6W,stiralnaya-mashina-lg-f4-m5vs6w,Отеген Батыр,"ул. Жансугурова, 100А",1,269990
WM,Стиральная машина SAMSUNG WW 70AG5S21CXLD,stiralnaya-mashina-samsung-ww-70ag5s21cxld,Отеген Батыр,"ул. Жансугурова, 100А",1,239990
WM,Стиральная машина SAMSUNG WW 70AG5S21EELD,stiralnaya-mashina-samsung-ww-70ag5s21eeld,Отеген Батыр,"ул. Жансугурова, 100А",1,234990
WM,Стиральная машина SAMSUNG WW 65AG4S21CXLD,stiralnaya-mashina-samsung-ww-65ag4s21cxld,Отеген Батыр,"ул. Жансугурова, 100А",2,224990
WM,Стиральная машина LG F2 V3FS4W,stiralnaya-mashina-lg-f2-v3fs4w,Отеген Батыр,"ул. Жансугурова, 100А",2,289990
WM,Стиральная машина SAMSUNG WW 70AGAS22AELD,stiralnaya-mashina-samsung-ww-70agas22aeld,Отеген Батыр,"ул. Жансугурова, 100А",1,239990
WM,Стиральная машина BEKO WSPE 6H616W,stiralnaya-mashina-beko-wspe-6h616w,Отеген Батыр,"ул. Жансугурова, 100А",1,204990
WM,Стиральная машина MIDEA MF 200W90WB/W-KZ,stiralnaya-mashina-midea-mf-200w90wbw-kz,Отеген Батыр,"ул. Жансугурова, 100А",1,229990
REF,Холодильник LG GC-B 509 SESM,holodilnik-lg-gc-b-509-sesm,Отеген Батыр,"ул. Жансугурова, 100А",2,369990
REF,Холодильник INDESIT DS 4160 W,holodilnik-indesit-ds-4160-w,Отеген Батыр,"ул. Жансугурова, 100А",1,174990
REF,Холодильник БИРЮСА 118,holodilnik-biryusa-118,Отеген Батыр,"ул. Жансугурова, 100А",1,139990
REF,Холодильник BEKO B3RCNK 402HX,holodilnik-beko-b3rcnk-402hx,Отеген Батыр,"ул. Жансугурова, 100А",1,344990
REF,Холодильник LG GC-B 459 MEWM,holodilnik-lg-gc-b-459-mewm,Отеген Батыр,"ул. Жансугурова, 100А",1,294990
REF,Холодильник HISENSE RB390N4BWE,holodilnik-hisense-rb390n4bwe,Отеген Батыр,"ул. Жансугурова, 100А",2,264990
REF,Холодильник INDESIT ITS 4180 W,holodilnik-indesit-its-4180-w,Отеген Батыр,"ул. Жансугурова, 100А",1,214990
REF,Морозильник ларь БИРЮСА 240 KX,morozilnik-lar-biryusa-240-kx,Отеген Батыр,"ул. Жансугурова, 100А",1,155990
REF,Морозильник ларь HISENSE FC258D4BW1 (200 л),morozilnik-lar-hisense-fc258d4bw1-200-l,Отеген Батыр,"ул. Жансугурова, 100А",2,194990
REF,Морозильник BEKO B1RFNK 312W,morozilnik-beko-b1rfnk-312w,Отеген Батыр,"ул. Жансугурова, 100А",1,314990
REF,Морозильник ларь БИРЮСА 285KX,morozilnik-lar-biryusa-285kx,Отеген Батыр,"ул. Жансугурова, 100А",2,179990
VCC,Пылесос LG VC 83209UHA,pylesos-lg-vc-83209uha,Отеген Батыр,"ул. Жансугурова, 100А",3,93990
VCC,Пылесос TEFAL TW 1931 RH,pylesos-tefal-tw-1931-rh,Отеген Батыр,"ул. Жансугурова, 100А",2,64990
VCC,Пылесос LG V K69662N,pylesos-lg-v-k69662n,Отеген Батыр,"ул. Жансугурова, 100А",3,39990
VCC,Пылесос TEFAL TW 3786 RA,pylesos-tefal-tw-3786-ra,Отеген Батыр,"ул. Жансугурова, 100А",2,94990
VCC,Пылесос TEFAL TW 4855 EA,pylesos-tefal-tw-4855-ea,Отеген Батыр,"ул. Жансугурова, 100А",3,94990
VCC,Пылесос SAMSUNG VC 18M31 AOHU,pylesos-samsung-vc-18m31-aohu,Отеген Батыр,"ул. Жансугурова, 100А",2,64990
VCC,Пылесос SAMSUNG SC 20M2540 JN,pylesos-samsung-sc-20m2540-jn,Отеген Батыр,"ул. Жансугурова, 100А",3,59990
VCC,Пылесос SAMSUNG VC 18M21 AOSB,pylesos-samsung-vc-18m21-aosb,Отеген Батыр,"ул. Жансугурова, 100А",6,54990
VCC,Пылесос TEFAL TW 7B11EA,pylesos-tefal-tw-7b11ea,Отеген Батыр,"ул. Жансугурова, 100А",2,139990
VCC,Пылесос SAMSUNG VC 18M31 COHG,pylesos-samsung-vc-18m31-cohg,Отеген Батыр,"ул. Жансугурова, 100А",4,74990
VCC,Пылесос SAMSUNG VC 18M21 DOVG,pylesos-samsung-vc-18m21-dovg,Отеген Батыр,"ул. Жансугурова, 100А",4,66990
VCC,Пылесос SAMSUNG VC 18M21 COVR,pylesos-samsung-vc-18m21-covr,Отеген Батыр,"ул. Жансугурова, 100А",5,61990
VCC,Пылесос SAMSUNG VCC 8874 H35,pylesos-samsung-vcc-8874-h35,Отеген Батыр,"ул. Жансугурова, 100А",1,119990
VCC,Пылесос SAMSUNG VC 15K4116 VR,pylesos-samsung-vc-15k4116-vr,Отеген Батыр,"ул. Жансугурова, 100А",2,79990
VCC,Пылесос SAMSUNG VCC 8835 V37,pylesos-samsung-vcc-8835-v37,Отеген Батыр,"ул. Жансугурова, 100А",2,99990
VCC,Пылесос SAMSUNG VCC 885F H3P,pylesos-samsung-vcc-885f-h3p,Отеген Батыр,"ул. Жансугурова, 100А",2,114990
VCC,Пылесос SAMSUNG VCC 5241 S3K,pylesos-samsung-vcc-5241-s3k,Отеген Батыр,"ул. Жансугурова, 100А",3,39990
VCC,Пылесос TEFAL TW 2922 EA,pylesos-tefal-tw-2922-ea,Отеген Батыр,"ул. Жансугурова, 100А",2,79990
VCC,Пылесос SAMSUNG VCC 8836 V36,pylesos-samsung-vcc-8836-v36,Отеген Батыр,"ул. Жансугурова, 100А",2,109990
VCC,Пылесос TEFAL TW 7C71 EA,pylesos-tefal-tw-7c71-ea,Отеген Батыр,"ул. Жансугурова, 100А",2,179990
VCC,Робот-пылесос DREAME F9 PRO,robot-pylesos-dreame-f9-pro,Отеген Батыр,"ул. Жансугурова, 100А",2,119990
VCC,Робот-пылесос XIAOMI BHR6390RU/B106GL MI ROBOT VACUUM S10 (White),robot-pylesos-xiaomi-bhr6390rub106gl-mi-robot-vacuum-s10-white,Отеген Батыр,"ул. Жансугурова, 100А",2,102990
VCC,Робот-пылесос DREAME BOT D9 MAX GEN 2 (black),robot-pylesos-dreame-bot-d9-max-gen-2-black,Отеген Батыр,"ул. Жансугурова, 100А",2,174990
VCC,Робот-пылесос DREAME BOT D9 MAX GEN 2 (white),robot-pylesos-dreame-bot-d9-max-gen-2-white,Отеген Батыр,"ул. Жансугурова, 100А",2,174990
VCC,Вертикальный пылесос TEFAL TY 98C0WO,vertikalnyy-pylesos-tefal-ty-98c0wo,Отеген Батыр,"ул. Жансугурова, 100А",2,309990
VCC,Вертикальный пылесос SAMSUNG JET 60 Turbo (VS15A6031R4/EV),vertikalnyy-pylesos-samsung-jet-60-turbo-vs-15a6031r4,Отеген Батыр,"ул. Жансугурова, 100А",2,164990
VCC,Вертикальный пылесос SAMSUNG JET 75B Complete (VS20B75ACR5/EV),vertikalnyy-pylesos-samsung-jet-75b-complete-vs20b75acr5ev,Отеген Батыр,"ул. Жансугурова, 100А",2,239990
VCC,Вертикальный пылесос DEERMA DX 115C,vertikalnyy-pylesos-deerma-dx-115c,Отеген Батыр,"ул. Жансугурова, 100А",2,14990
VCC,Вертикальный пылесос TEFAL TY 2079WO,vertikalnyy-pylesos-tefal-ty-2079wo,Отеген Батыр,"ул. Жансугурова, 100А",3,199990
VCC,Вертикальный паровой пылесос Kitfort KT-555,vertikalnyy-parovoy-pylesos-kitfort-kt-555,Отеген Батыр,"ул. Жансугурова, 100А",2,91790
VCC,Вертикальный пылесос DEERMA DX 118C (серый),vertikalnyy-pylesos-deerma-dx-118c-seryy,Отеген Батыр,"ул. Жансугурова, 100А",3,14990
VCC,Вертикальный пылесос Kitfort KT-597-2 (белый),vertikalnyy-pylesos-kitfort-kt-597-2-belyy,Отеген Батыр,"ул. Жансугурова, 100А",2,23790
RAC,Кондиционер MIDEA MSAG-07HRN1 (инст),kondicioner-midea-msag-07hrn1-outdoor-unit,Отеген Батыр,"ул. Жансугурова, 100А",7,149990
RAC,Кондиционер SAMSUNG AR07BQHQASINER (инст) комплект,kondicioner-samsung-ar07bqhqasixer-inst-komplekt,Отеген Батыр,"ул. Жансугурова, 100А",1,174990
RAC,Кондиционер MIDEA MSAG-12HRN1 (инст),kondicioner-midea-msag-12hrn1-outdoor-unit,Отеген Батыр,"ул. Жансугурова, 100А",2,189990
RAC,Кондиционер MIDEA MSAG-09HRN1 (инст),kondicioner-midea-msag-09hrn1-outdoor-unit,Отеген Батыр,"ул. Жансугурова, 100А",4,169990
RAC,Кондиционер MIDEA AF-12N8D1 (инст),kondicioner-midea-af-12n8d1-inst,Отеген Батыр,"ул. Жансугурова, 100А",2,199990
RAC,Кондиционер MIDEA AF-08N8C3 (инст),kondicioner-midea-af-08n8c3-inst,Отеген Батыр,"ул. Жансугурова, 100А",2,169990
RAC,Кондиционер MIDEA MSCB-09HRFN8 wi-fi(инст),kondicioner-midea-mscb-09hrfn8-wi-fiinst,Отеген Батыр,"ул. Жансугурова, 100А",1,229990
RAC,Кондиционер LG P12ED (без инст) комплект,kondicioner-lg-p12ed-bez-inst-komplekt,Отеген Батыр,"ул. Жансугурова, 100А",1,199990
CAV,"Умная колонка ЯНДЕКС Станция Мини 3, Серый",umnaya-kolonka-yandeks-stanciya-mini-3-seryy,Отеген Батыр,"ул. Жансугурова, 100А",2,54990
CAV,"Умная колонка ЯНДЕКС Станция Мини 3, Лиловый",umnaya-kolonka-yandeks-stanciya-mini-3-lilovyy,Отеген Батыр,"ул. Жансугурова, 100А",3,54990
CAV,"Умная колонка ЯНДЕКС Станция Мини 3, Черный",umnaya-kolonka-yandeks-stanciya-mini-3-chernyy,Отеген Батыр,"ул. Жансугурова, 100А",3,54990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ 2, Оранжевый (Коралловый)",umnaya-kolonka-yandeks-stanciya-layt-2-oranjevyy-korallovyy,Отеген Батыр,"ул. Жансугурова, 100А",4,32990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ 2, Зелёный",umnaya-kolonka-yandeks-stanciya-layt-2-zelenyy,Отеген Батыр,"ул. Жансугурова, 100А",2,32990
CAV,"Умная колонка ЯНДЕКС Станция Дуо Макс с Алисой, с Zigbee (Чёрный)",umnaya-kolonka-yandeks-stanciya-duo-maks-s-alisoy-s-zigbee-chernyy,Отеген Батыр,"ул. Жансугурова, 100А",2,214990
CAV,Умная колонка ЯНДЕКС Новая Яндекс.Станция Мини с часами (Черный оникс),umnaya-kolonka-yandeks-novaya-yandeksstanciya-mini-s-chasami-chernyy-oniks,Отеген Батыр,"ул. Жансугурова, 100А",4,46990
CAV,Портативная колонка JBL GO3 (black),portativnaya-kolonka-jbl-go3-black,Отеген Батыр,"ул. Жансугурова, 100А",1,22990
CAV,Портативная колонка JBL GO3 (blue/pink),portativnaya-kolonka-jbl-go3-bluepink,Отеген Батыр,"ул. Жансугурова, 100А",1,22990
CAV,"Умная колонка ЯНДЕКС Станция Миди с Алисой, с Zigbee (Чёрный)",umnaya-kolonka-yandeks-stanciya-midi-s-alisoy-s-zigbee-chernyy,Отеген Батыр,"ул. Жансугурова, 100А",2,89990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ 2, Синий",umnaya-kolonka-yandeks-stanciya-layt-2-siniy,Отеген Батыр,"ул. Жансугурова, 100А",1,32990
CAV,"Умная колонка ЯНДЕКС Станция Миди с Алисой, с Zigbee (Серый)",umnaya-kolonka-yandeks-stanciya-midi-s-alisoy-s-zigbee-seryy,Отеген Батыр,"ул. Жансугурова, 100А",2,89990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ 2, Фиолетовый",umnaya-kolonka-yandeks-stanciya-layt-2-fioletovyy,Отеген Батыр,"ул. Жансугурова, 100А",3,32990
CAV,Портативная колонка JBL GO3 (blue),portativnaya-kolonka-jbl-go3-blue,Отеген Батыр,"ул. Жансугурова, 100А",1,22990
CAV,"Умная колонка ЯНДЕКС Станция Миди с Алисой, с Zigbee (Розовый)",umnaya-kolonka-yandeks-stanciya-midi-s-alisoy-s-zigbee-rozovyy,Отеген Батыр,"ул. Жансугурова, 100А",1,89990
